,ISBN,Book_Title,Description,sentiment_score_neg,sentiment_score_neu,sentiment_score_pos,sentiment_score_compound,sentiment_type
318,1561561428,Frankenstein,"The monster was supposed to be man's benefactor, but, scorned for his ugliness, he swears revenge on his creator and the human race.",0.312,0.646,0.042,-0.8847,1
319,0553210092,The Scarlet Letter,"Hailed by Henry James as ""the finest piece of imaginative writing yet put forth in the country,"" Nathaniel Hawthorne's The Scarlet Letter reaches to our nation's historical and moral roots for the material of great tragedy. Set in an early New England colony, the novel shows the terrible impact a single, passionate act has on the lives of three members of the community: the defiant Hester Prynne; the fiery, tortured Reverend Dimmesdale; and the obsessed, vengeful Chillingworth. With The Scarlet Letter, Hawthorne became the first American novelist to forge from our Puritan heritage a universal classic, a masterful exploration of humanity's unending struggle with sin, guilt and pride.",0.191,0.678,0.131,-0.836,1
320,0553258524,Dragonsong,"Because of her father's adamant disapproval of her unwomanly ambition to be a Harper, Menolly, young girl of Pern, braves the deadly perils of Threadfall and redirects her life, aided by nine fire dragons.",0.066,0.854,0.08,0.128,1
321,1569471096,Was it Something I Said?,"Tells the story of a romance that begins with an absurd meeting between Barry, a food product manager who hasn't had a date in a year, and Justine, an ambitious lawyer at a hotshot New York mergers and acquisitions firm",0.0,0.831,0.169,0.7717,1
322,014023828X,The Tortilla Curtain,"T.C. Boyle’s tragicomic, award-winning novel about assimilation, immigration, and the price of the American dream “A masterpiece of contemporary social satire.” —The Wall Street Journal Topanga Canyon is home to two couples on a collision course. Los Angeles liberals Delaney and Kyra Mossbacher lead an ordered sushi-and-recycling existence in a newly gated hilltop community: he a sensitive nature writer, she an obsessive realtor. Mexican immigrants Candido and America Rincon desperately cling to their vision of the American Dream as they fight off starvation in a makeshift camp deep in the ravine. And from the moment a freak accident brings Candido and Delaney into intimate contact, these four and their opposing worlds gradually intersect in what becomes a tragicomedy of error and misunderstanding.",0.163,0.738,0.099,-0.8271,1
323,0345424719,A Widow for One Year,"In A Widow for One Year, we follow Ruth Cole through three of the most pivotal times in her life: from her girlhood on Long Island (in the summer of 1958) through the fall of 1990 (when she is an unmarried woman whose personal life is not nearly as successful as her literary career), and at last in the autumn of 1995, when Ruth is a forty-one-year-old widow and mother (and she’s about to fall in love for the first time). Both elegiac and erotic, A Widow for One Year is a multilayered love story of astonishing emotional force.",0.03,0.874,0.096,0.7862,1
324,0375414746,The Clearing,"Returning from the Great War a changed man, Byron Aldridge drifts away from his privileged and charmed life to take a job as a constable in a remote Louisiana sawmill, while his younger brother, taking over management of the mill, struggles to understand him, in an atmospheric novel of famiy, justice, and obligation. 30,000 first printing.",0.095,0.671,0.234,0.8519,1
325,0375726403,Empire Falls,"NATIONAL BESTSELLER • PULITZER PRIZE WINNER • The bestselling author of Nobody's Fool and Straight Man delves deep into the blue-collar heart of America in a work that overflows with hilarity, heartache, and grace. “Rich, humorous ... Mr. Russo’s most seductive book thus far.” —The New York Times Welcome to Empire Falls, a blue-collar town full of abandoned mills whose citizens surround themselves with the comforts and feuds provided by lifelong friends and neighbors and who find humor and hope in the most unlikely places, in this Pulitzer Prize-winning novel by Richard Russo. Miles Roby has been slinging burgers at the Empire Grill for 20 years, a job that cost him his college education and much of his self-respect. What keeps him there? It could be his bright, sensitive daughter Tick, who needs all his help surviving the local high school. Or maybe it’s Janine, Miles’ soon-to-be ex-wife, who’s taken up with a noxiously vain health-club proprietor. Or perhaps it’s the imperious Francine Whiting, who owns everything in town–and seems to believe that “everything” includes Miles himself.",0.054,0.749,0.197,0.98,1
326,0425156842,Sophie's World,"A novel about the history of philosophy chronicles the story of a teenaged girl who discovers a mysterious letter in her mailbox and embarks on a journey of philosophical discovery, taking her from Socrates to Sartre and beyond. Reprint.",0.0,0.937,0.063,0.3182,1
327,0452277337,Le Divorce,"NATIONAL BOOK AWARD FINALIST ""If one were to cross Jane Austen and Henry James, the result would be Diane Johnson.""—San Francisco Chronicle The national bestseller and inspiration for the major motion picture starring Naomi Watts and Kate Hudson! Called ""stylish... refreshing... genuinely wise” by The New York Times Book Review,this delightful comedy of manners and morals, money, marriage, and murder follows smart, sexy, and impeccably dressed American Isabel Walker as she lands in Paris to visit her stepsister Roxy, a poet whose marriage to an aristocratic French painter has assured her a coveted place in Parisian society—until her husband leaves her for the wife of an American lawyer. Could ""le divorce"" be far behind? Can irrepressible Isabel keep her perspective (and her love life) intact as cultures and human passions collide? ""Social comedy at its best"" (Los Angeles Times Book Review), Le Divorce is Diane Johnson at her most scintillating and sublime.",0.033,0.751,0.216,0.9862,1
328,0553802488,The Face,"When a Hollywood star becomes the target of a twisted killer, ex-cop Ethan Truman confronts the secrets of his tragic past and premonitions of his own impending violent death as he struggles to solve the macabre riddles of a killer.",0.436,0.531,0.033,-0.9719,1
329,0671021001,She's Come Undone,"In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years. Meet Dolores Price. She's 13, wise-mouthed but wounded, having bid her childhood goodbye. Stranded in front of her bedroom TV, she spends the next few years nourishing herself with the Mallomars, potato chips, and Pepsi her anxious mother supplies. When she finally orbits into young womanhood at 257 pounds, Dolores is no stronger and life is no kinder. But this time she's determined to rise to the occasion and give herself one more chance before she really goes under.",0.095,0.761,0.145,0.8188,1
330,0805063897,Nickel and Dimed,"The New York Times bestseller, and one of the most talked about books of the year, Nickel and Dimed has already become a classic of undercover reportage. Millions of Americans work for poverty-level wages, and one day Barbara Ehrenreich decided to join them. She was inspired in part by the rhetoric surrounding welfare reform, which promised that any job equals a better life. But how can anyone survive, let alone prosper, on $6 to $7 an hour? To find out, Ehrenreich moved from Florida to Maine to Minnesota, taking the cheapest lodgings available and accepting work as a waitress, hotel maid, house cleaner, nursing-home aide, and Wal-Mart salesperson. She soon discovered that even the ""lowliest"" occupations require exhausting mental and physical efforts. And one job is not enough; you need at least two if you intend to live indoors. Nickel and Dimed reveals low-wage America in all its tenacity, anxiety, and surprising generosity -- a land of Big Boxes, fast food, and a thousand desperate strategies for survival. Instantly acclaimed for its insight, humor, and passion, this book is changing the way America perceives its working poor.",0.071,0.801,0.128,0.8658,1
331,0553285343,The Russia House,World powers clash for dominance as a beautiful Russian woman carries out a staggering mission and a derelict English publisher becomes the unlikely recipient of the Soviet Union's top defense secret,0.0,0.727,0.273,0.7906,1
332,0486285529,Solv-a-crime Puzzles,"Challenges the reader to solve forty-seven crimes, and provides solutions",0.0,0.593,0.407,0.4215,1
333,0671002481,The First Wives Club,"Three faithful, middle-age wives, who have been abandoned for ""trophy wives""--younger, blonder, and sexier models--by their successful husbands, decide to get even and seek public revenge before New York society",0.164,0.665,0.171,0.0772,1
334,0812523385,Selected Poems of Emily Dickinson,Background information accompanies more than a hundred of Dickinson's brief poems,0.0,1.0,0.0,0.0,2
335,0895774666,Watercolor School,"Provides visual explanations and simple exercises to build painting skills, and offers eight projects highlighting different subjects from the planning stage to the completed painting",0.0,1.0,0.0,0.0,2
336,0842329129,Left Behind,"After millions of people around the world vanish in one moment, in what many claim to be the Rapture, Rayford Steele begins a search for the truth amidst global chaos",0.11,0.774,0.116,-0.2023,1
337,0345451260,Househusband,"When his wife is offered her dream job, Linc Menner leaves his thriving landscape business in Los Angeles to move to Rochester, New York, and to take charge of the household, but he soon finds himself frustrated and bored, missing his wife who is working all hours and never has time for him anymore. A first novel.",0.153,0.779,0.068,-0.765,1
338,0740700235,"Rinkitink in Oz. (Wonderful Oz Books, Book 10.)","When all the inhabitants of Pingaree are kidnapped by the mongrel hordes of twin island kingdoms, Prince Inga and his friend King Rinkitink decide to go to the rescue.",0.0,0.806,0.194,0.7579,1
339,0380973545,Letters from a Nut,"Who is Ted L. Nancy? He's a concerned hotel guest searching for a lost tooth... He's a superstitious Vegas high-roller who wants to gamble at a casino in his lucky shrimp outfit... He's the genius inventor of ""Six Day Underwear""... He's a demanding dramatist seeking an audience for his play about his 26-year-old dog, Cinnamon... He's the proud owner of Charles, a 36-year-old cat who owes his longevity to a pet food company... He's a loyal fan of the King of Tonga... He is, in reality, a twisted prankster -- a supremely off-kilter alter ego who sends patently ridiculous letters and queries to (and receives surprisingly earnest responses back from) corporate honchos, entertainment conglomerates, national publications, politicians, celebrities and heads of state to everyone, in fact, from the president of the Bon Ami Cleanser Company to U.S. Vice President Al Gore. Letters From A Nut is an insanely inspired, truly madcap collection of Nancy correspondence, a laugh-out-loud-in-public-places aggregation of official -- and officially certifiable -- requests, complaints, fan mail and questions that could not possibly have been taken seriously...but, amazingly, were! Dear Mr. Nancy:""It is not often that we receive such enthusiastic support for the paper bag."" --The Paper Bag Council ""On behalf of Greyhound, there should be no problem traveling while in your butter costume."" --Greyhound Bus Lines ""I look forward to working with you to create a better future for this great nation."" -- Vice President Al Gore ""An unending stream of some of the most hilarious exchanges I've ever read. Everyone I lent this book to just read it and laughed out loud like I did. It's so simple, yet totally inventive. I'm sure some sort of mail fraud charges could be brought to stop this man but, personally, I hope they never catch him."" --Jerry Seinfeld",0.05,0.8,0.149,0.9756,1
340,0393321576,Karl Marx,"Looks at the life of the father of Communism, focusing primarily on the human side of the man rather than his works.",0.0,1.0,0.0,0.0,2
341,0743424425,The Shining,"Jack Torrance sees his stint as winter caretaker of a Colorado hotel as a way back from failure, his wife sees it as a chance to preserve their family, and their five-year-old son sees the evil waiting just for them, as they journey into a world in which old horrors come to life to destroy the living. Reissue.",0.226,0.744,0.03,-0.9313,1
342,0446610178,The Sky Is Falling,"The Winthrops are America's royal family, and its Prince Charming is the sexy, charismatic Gary Winthrop. Now the man on his way to becoming the Senate's brightest new star is found murdered in his home-the latest in a series of incidents that have killed five members of the family in a single year. One of the last people to see Gary Winthrop alive is Washington anchorwoman Dana Evans. She makes it her mission to investigate these seemingly random tragedies, little realizing that her search will sweep her across several continents, place her and her young son in grave danger, and lead her to a truth that will astound the world.",0.134,0.724,0.142,-0.0,1
343,0684854953,Santa & Pete,"A bus driver takes his grandson along on Saturdays as he travels a historical route around New York City. What comes out of these travels is a series of wonderful adventures that culminates on Christmas Eve, when the bus gets stuck in a snowstorm. Watercolor illustrations.",0.042,0.828,0.13,0.6249,1
344,0380617625,The Kingdom,Follows the line of the Saudi succession from its nineteenth-century origins to the present and chronicles the nation's ruling families' progression to an oil superpower.,0.0,0.93,0.07,0.2023,1
345,0385337132,The 37th Hour,"A detective specializing in missing persons cases, Sarah Pribek becomes involved in a case that hits all too close to home, the mysterious disappearance of her own husband, a fellow police officer. A first novel. 150,000 first printing.",0.06,0.877,0.063,0.0258,1
347,0445402040,The Hunted,"A photo of Al Rosen saving guests in a hotel fire in Israel appears in daily newspapers across the United States, and from then on, everyone is looking for him, and somebody wants him dead",0.17,0.759,0.071,-0.5994,1
348,0618119760,Saints of Big Harbour,"Fatherless teen Guy Boucher finds himself at the center of an ugly rumor involving a popular girl, in a story told from the viewpoints of his overbearing uncle Isadore, the Shakespeare-loving Pam, a draft-dodging English teacher, and a pair of emotional golden boys.",0.076,0.824,0.101,0.0258,1
349,0026329859,From the Earth,Provides recipes ranging from traditional Buddhist-style preparations to the author's own personal creations and offers tips on cooking techniques,0.0,0.874,0.126,0.3818,1
350,0060621257,Living in the Presence,"Offers meditations on fasts and feasts, God's presence, prayer, interior visualization, the emotions, healing, intercession, joy, and thanksgiving",0.0,0.817,0.183,0.5859,1
351,0060915544,The Bean Trees,"Young, bright Taylor Greer leaves her poverty-stricken life in Kentucky and heads west, picking up an abandoned Native American baby girl whom she names Turtle and finds a new home in Tucson with Mattie, an old woman who takes in Central American refugees",0.065,0.871,0.063,-0.0258,1
352,0060917016,Homeland and Other Stories,"With the same wit and sensitivity that have come to characterize her highly praised and beloved novels Animal Dreams and The Bean Trees, Barbara Kingsolver gives us a rich and emotionally resonant collection of twelve stories. Spreading her memorable characters over landscapes ranging from northern-California to the hills of eastern Kentucky and the Caribbean island of St. Lucia, Kingsolver tells stories of hope, momentary joy, and powerful endurance. In every setting, Kingsolver's distinctive voice -- at times comic, but often heartrending -- rings true as she explores the twin themes of family ties and the life choices one must ultimately make alone. Homeland and Other Stories creates a world of love and possibility that readers will want to take as their own.",0.018,0.777,0.205,0.972,1
353,0060925000,A Suitable Boy,"While a widowed mother agonizes over her daughter's future, the newly independent India of the early 1950s struggles through a time of great crisis when its varied cultures clash. 100,000 first printing. $200,000 ad/promo. BOMC Main. QPB Alt. Tour.",0.265,0.652,0.084,-0.836,1
354,0061000280,The Fly on the Wall,"Ace reporter John Cotton is a fly on the wall -- seeing all, hearing all, and keeping out of sight. But the game changes when he finds his best friend's corpse sprawled on the marble floor of the central rotunda of the U.S. Capitol. Suddenly Cotton knows too much about a scandal centered around a senatorial candidate, a million-dollar scam, and a murder. And he hears the pursuing footsteps of powerful people who have something to hide ... and a willingness to kill to keep their secrets hidden.",0.255,0.639,0.106,-0.9636,1
355,0192815318,Cranford,"A ""classic portrait of life in a quiet English village in the early nineteenth century"" which describes ""the pretensions and prejudices, fears and follies, and pathetic attempts at 'elegant economy' of the genteel ladies of Cranford.""--Back cover.",0.214,0.714,0.071,-0.7351,1
356,0380792664,The Right Hand of Amon,"When Kings Walked As Living Gods It is the eighteenth dynasty of Queen Maatkare Hatshepsut, divine ruler of a sun-seared realm. And blood flows as freely as the great, winding Nile that nourishes this ancient land of intrigue and danger. Lieutenant Bak is a loyal servant of the royal house of Egypt--commander of the Medjay police in the frontier fortress city of Buhen. A man of honor and ability, it is he who must oversee the corps assigned to accompany the golden idol, the god Amon, on its journey up the Nile to heal the ailing son of a powerful tribal king. But the mighty river has yielded up a sinister ""treasure"": the body of a brave soldier horrifically slain for reasons unknown. And only the drawings of a missing mute boy can help Bak unravel the mystery of the officer's foul death--before it leads to far greater crimes that could imperil an empire. WHEN KINGS WALKED AS LIVING GODS It is the eighteenth dynasty of Queen Maatkare Hatshepsut, divine ruler of a sun-seared realm. And blood flows as freely as the great, winding Nile that nourishes this ancient land of intrigue and danger. Lieutenant Bak is a loyal servant of the royal house of Egypt--commander of the Medjay police in the frontier fortress city of Buhen. A man of honor and ability, it is he who must oversee the corps assigned to accompany the golden idol, the god Amon, on its journey up the Nile to heal the ailing son of a powerful tribal king. But the mighty river has yielded up a sinister treasure: the body of a brave soldier horrifically slain for reasons unknown. And only the drawings of a missing mute boy can help Bak unravel the mystery of the officers foul death--before it leads to far greater crimes that could imperil an empire.",0.091,0.71,0.199,0.9882,1
357,0393048977,Last Blue,"In this luminous new collection by the winner of the 1998 National Book Awardfor Poetry, Stern more deeply explores his light vs. darkness themes.",0.072,0.791,0.137,0.4215,1
358,0399137807,The Cat who Wasn't There,"Persuaded to join a tour of Scotland, Jim Qwilleran finds his enjoyment of the trip threatened when a jewel thief swipes a suitcase, the bus driver vanishes, a fellow tourist is found dead, and Polly is tailed by the Pickax Prowler. 100,000 first printing. $65,000 ad/promo. Lit Guild & Doubleday Alt. Mystery Guild Main.",0.173,0.694,0.134,-0.5267,1
359,0451410556,The Blue Last,Chief Inspector Mickey Haggerty asks his old friend Richard Jury to assist him in proving that the granddaughter of beer magnate Oliver Tynedale is in fact an imposter and that the real heiress died with her mother.,0.086,0.837,0.077,-0.1027,1
360,0451523318,The Turn of the Screw and Other Short Novels,"Henry James' short novels provide an overview of his entire career and serve as an excellent introduction to his singular art and imagination. This collection includes The Turn of the Screw, Daisy Miller, The Beast in the Jungle, An International Episode, The Aspern Papers and The Altar of the Dead. Major course adoption potential. Copyright © Libri GmbH. All rights reserved.",0.086,0.858,0.056,-0.25,1
361,0486281965,The Country of the Pointed Firs,"A classic of American fiction, memorializing the traditions, manners and dialect of Maine coast natives at the turn of the 20th century. In luminous evocations of their lives, Maine-born Jewett created startlingly real portraits of individual New Englanders, and a warm, humorous, and compassionate vision of New England character.",0.024,0.759,0.217,0.8555,1
362,081296666X,Things My Girlfriend and I Have Argued About,"Things My Girlfriend and I Have Argued About concerns a guy named Pel who lives with his German girlfriend, Ursula. Pel leads an uneventful life—quietly bluffing his way through his job and discovering new things to argue about with Ursula. But when his boss mysteriously disappears, Pel steps innocently into his shoes and his life spirals out of control in a chaotic whirl of stolen money, missing colleagues, and Chinese mafiosi. Its fractured thriller plot punctuated by blazingly hilarious set-piece arguments between the hapless Pel and the unflappable Ursula, Things My Girlfriend and I Have Argued About is a brilliant comic novel examining the unique warfare in long-term relationships.",0.225,0.654,0.121,-0.9224,1
363,0819215635,Listening Hearts,"Explores the themes of call, discernment, and community as they relate to each other. It asks us to listen to our hearts so that we may discover ourselves. This guides us on how we can remain faithful and accountable.",0.0,0.929,0.071,0.4404,1
364,0880011025,"Unattainable Earth,","Begun in the winter of 1955 and completed in the spring of 1956, Treatise on Poetry is a brilliant meditative poem fully expressive of the powers that have made Milosz one of our greatest writers. Expertly translated, the poem is divided into four parts -- Europe at the turn of the century, the condition of Polish culture between the two world wars, the harsh reality of World War II, and the role of the poet in the postwar world. Here Milosz addresses the failure of early-20th-century Polish poetry. With vast historical sweep and in language that enables readers to see ""as if in a flash of summer lighting"", Milosz offers a fascinating account of the mysterious art of poetry.",0.101,0.796,0.103,0.0516,1
365,1561011525,The Practice of Prayer,"In this down-to-earth book on the essentials of prayer, Margaret Guenther answers many of the common questions of the spiritual life, such as How do we learn to listen to God in our prayer? and, How do we develop a life of prayer in the midst of busy, active lives? She includes practical descriptions of a number of ways Christians have prayed through the centuries, from using the Jesus Prayer or rosary to praying with the stories of scripture and prayer book liturgies. Guenther also discusses basic matters of Christian practice, such as making a confession, intercession, going on retreat, simplifying our lives, using a journal to pray, finding a spiritual director, and praying through times of desolation when God does not seem to be listening.",0.0,0.857,0.143,0.9295,1
366,1877727083,Vertical Poetry,"Winner of the Colorado Book Award for Translation upon its release, this book brings to English-speaking audiences new work by this brilliant Argentine poet of whom Octavio Paz says, ""Each of Juarroz's poems is a surprising verbal crystallization: language reduced to a drop of light."" In Juarroz's work we encounter the vertical depths of language, the inner wells.",0.031,0.735,0.234,0.93,1
367,0486206173,Rubinstein's Chess Masterpieces,"Here are 100 of Rubenstein's best games against such opponents as Euwe, Janowski, Kashdan, Marshall, Tarrasch, and many others. His highly original contributions to chess theory cannot be overlooked by any serious player.",0.034,0.76,0.206,0.7627,1
368,0312278586,The Nanny Diaries,"A satirical glimpse into Manhattan's upper class follows Nanny, a struggling NYU student who takes a position caring for the son of the rich and glamorous X family, as she learns how to juggle a vast array of tasks so that a Park Avenue wife never has tolift a well-manicured finger.",0.053,0.756,0.191,0.8074,1
369,8845229041,Sulla sponda del fiume Piedra mi sono seduta e ho pianto,"Pilar ritrova a Madrid l'amico dell'infanzia. Questi ha girato il mondo ed è poi entrato in seminario, dove si dice abbia fatto miracoli. Pilar è una donna passionale, ma delusa dalla vita. Con l'amico d'infanzia compie un viaggio di sei giorni durante il quale la donna ritrova se stessa attraverso una riflessione mistico-iniziatica. I due si recano a Lourdes dove cementeranno il loro amore alla luce di una fede che esalta i valori della missione nel mondo.",0.0,0.967,0.033,0.34,1
370,0674511255,The Last Best Hope of Earth,"Discusses the influence of politics on Lincoln's life, the development of his ideas on military strategy, and his defense of the Constitution",0.0,0.933,0.067,0.128,1
371,0312965745,Secrets of St. John's Wort,"Learn more about ""nature's Prozac"" If you have mild to moderate depression and don't want the unpleasant side-effects or hug price tag of prescription antidepressants, St. John's wort could be just what you're looking for! It has been used for thousands of years throughout Europe, but Americans are just finding out about the miraculous healing powers of St. John's wort. Also known as Hypericum, this simple flowering herb has been proven to work as well as-and sometimes even better than-prescription antidepressants. In Secrets of St. John's Wort, you'll learn how Hypericum can be used in its various forms to elevate your mood and improve overall health. This easy-to-use, step-by-step program also shows you: -How to tell if you're a candidate for St. John's wort -How it works in the body and what to expect from it -Where to find good quality St. Johns' wort, including mail order sources -A comparison with Prozac and other medications -Detailed instructions of dosage and frequency for optimum results Discover the amazing natural antidepressant-discover the Secrets of St. John's Wort.",0.018,0.844,0.138,0.9759,1
372,0345374657,Diet for a Poisoned Planet,Here is a thoroughly researched guide to the foods that are safest and the ones that are most dangerous in each of the major food groups.,0.117,0.791,0.093,-0.1761,1
373,0395710901,Punished by Rewards,"Criticizes the system of motivating through reward, offering arguments for motivating people by working with them instead of doing things to them",0.158,0.528,0.314,0.7184,1
374,080521061X,Montessori Today,"Paula Lillard, director of a Montessori school ranging in age from 18 months to fifteen years, provides a clear and cogent introduction to the Montessori program for the elementary and later years. In detailed accounts, Lillard shows how children acquire the skills to answer their own questions, learn to manage freedom with responsibility, and maintain a high level of intellectual stimulation by using the Montessori method. This is an essential handbook for parents and teachers who have chosen the Montessori alternative for the older child.",0.0,0.887,0.113,0.8779,1
375,0823032612,Sketching Techniques,"Recommends sketchbooks, pens, pencils, markers and water colors, shows how to draw people, animals, and landscapes, and gives advice on shapes, patterns, composition, and values",0.0,0.833,0.167,0.5574,1
376,0679310002,Going Down Swinging,"A remarkable debut novel and bittersweet tale of the unflinching love and devotion between a mother and daughter.Razor sharp and darkly funny ""Going Down Swinging chronicles two years in the life of the Hoffmans. Eilleen Hoffman has just told Danny, her con-artist lover and father of her youngest daughter Grace, to get out -- for good. Once a teacher, Eilleen lived a middle-class life, but her taste in men coupled with a predilection for pills and booze has brought her down. Desperate to prevent her family from sinking deeper into poverty, Eilleen reluctantly goes on welfare. Eventually she turns to the only friends she has left, hustlers and hookers, to learn how a woman makes fast money, no investment necessary.With Eilleen on welfare and her older daughter Charlotte a teenaged runaway, child welfare authorities descend on the Hoffmans. As Eilleen trails through several attempts at drying out, the well-intentioned Children's Protection Society finally intervenes to apprehend Grace. With the threat of prolonged separation now a stark reality, Eilleen and Grace must rally to confront their demons with grit, determination and humour. Unblinkingly observed and brilliantly written, ""Going Down Swinging is about the powerful bond between mother and child. And with her skilful narrative interplay, Billie Livingston illustrates poignantly how the truth of our stories lies not so much in the black and white, as it does in the grey.",0.087,0.725,0.188,0.9758,1
377,0316171107,Like a Hole in the Head,"After buying and reselling a valuable book, Jill must find the current owner or lose her life to the assassin who demands she return the book to him",0.088,0.812,0.101,0.1027,1
379,0515118656,The Cove,"A picturesque town. A woman on the run. An undercover agent. The first riveting novel in Catherine Coulter's #1 New York Times bestselling FBI Thriller series. Sally Brainerd can't remember what happened the night her father was murdered. Maybe she did it. Or maybe it was her poor, traumatized mother. Either way, the safest place for her is far away from Washington, D.C.. But while her aunt's home in The Cove should be a quiet refuge, Sally can't shake the feeling that there's something not quite right about the postcard perfect little town. Despite his target's checkered past and convenient memory loss, FBI Special Agent James Quinlan isn't convinced she's the killer—but maybe she knows who is. As he uses his cover to get close to Sally and unearth the memories her mind has hidden away, James can't deny his connection to the troubled woman. But as their lies and passions intertwine, Sally and James soon learn they aren't the only ones keeping deadly secrets in The Cove...",0.112,0.765,0.123,0.2591,1
380,0553289063,An Inconvenient Woman,"Flo March, the innocent mistress of billionaire financier and art collector Jules Mendelson, knows too much about the ""suicide"" of Hector Paradiso and about the machinations of her lover and the workings of the Hollywood underworld",0.0,0.846,0.154,0.7351,1
381,0425178242,Kick Ass,"A collection of the unique and passionate columns by Carl Hiaasen of the Miami Herald examines the outrageous carnival of southern Florida and all its inhabitants--thieves, conmen, hustlers, perfumed swine, legal swindlers and patriotic crooks, executioners, and lap dancers. Reprint.",0.068,0.82,0.112,0.2263,1
382,0385721420,Three Junes,"NATIONAL BOOK AWARD WINNER • NATIONAL BESTSELLER • An astonishing novel that traces the lives of a Scottish family over a decade as they confront the joys and longings, fulfillments and betrayals of love in all its guises. In June of 1989 Paul McLeod, a newspaper publisher and recent widower, travels to Greece, where he falls for a young American artist and reflects on the complicated truth about his marriage.... Six years later, again in June, Paul’s death draws his three grown sons and their families back to their ancestral home. Fenno, the eldest, a wry, introspective gay man, narrates the events of this unforeseen reunion. Far from his straitlaced expatriate life as a bookseller in Greenwich Village, Fenno is stunned by a series of revelations that threaten his carefully crafted defenses.... Four years farther on, in yet another June, a chance meeting on the Long Island shore brings Fenno together with Fern Olitsky, the artist who once captivated his father. Now pregnant, Fern must weigh her guilt about the past against her wishes for the future and decide what family means to her. In prose rich with compassion and wit, Three Junes paints a haunting portrait of love’s redemptive powers.",0.062,0.773,0.165,0.9708,1
384,0743418190,In Her Shoes,"Twenty-eight-year-old Maggie Feller, who goes from job to job on the fringes of show business, and her older sister Rose, a lawyer, have had no contact with their grandmother, Ella, since their mother's death years ago, but all three need to find each other to reach happiness.",0.078,0.806,0.116,0.4588,1
385,0385335407,The Kiss,"Trapped in a loveless marriage, Frenchwoman Isabelle cares for her daughter and dangerously ill son while pursuing a secret friendship with American power broker Bill Robinson, until a car accident tests their growing love. 1,000,000 first printing.",0.246,0.519,0.236,-0.128,1
386,0965746828,Home Spun,"A selection of articles from the author's column printed in the Houston chronicle between 1989 and 1996 explore church pew etiquette, high school football, the change of the seasons, and what can happen when you turn off the TV",0.0,1.0,0.0,0.0,2
387,0060923245,Sweet Hereafter,"In The Sweet Hereafter, Russell Banks tells a story that begins with a school bus accident. Using four different narrators, Banks creates a small-town morality play that addresses one of life's most agonizing questions: when the worst thing happens, who do you blame?",0.251,0.61,0.139,-0.796,1
388,0486272664,The Rime of the Ancient Mariner and Other Poems,"Great title poem plus ""Kubla Khan,"" ""Christabel,"" 20 other sonnets, lyrics, odes: ""Sonnet: To a Friend who asked how I felt when the Nurse first presented my Infant to me,"" ""Frost at Midnight,"" ""The Nightingale,"" ""The Pains of Sleep,"" ""To William Wordsworth,"" ""Youth and Age,"" many more. Alphabetical lists of titles and first lines.",0.047,0.829,0.124,0.6705,1
390,0553272837,Brazen Virtue,"NOW THE NETFLIX FILM BRAZEN, STARRING ALYSSA MILANO From #1 New York Times bestselling author Nora Roberts comes a novel that explores the dangerous side of desire, when a mystery writer in search of a little peace and quiet instead finds herself ensnared in the world of a real-life serial killer whose craving for murder stops at nothing . . . and no one. After a demanding book tour, superstar mystery novelist Grace McCabe decides to visit her sister, Kathleen, who’s embroiled in a custody battle after a bitter divorce. Arriving in D.C., Grace is shocked to find Kathleen living in a run-down neighborhood and, hoping to afford a hotshot lawyer, supplementing her meager teacher’s salary by moonlighting as a phone sex operator. According to Kathleen, Fantasy, Inc., guarantees its employees ironclad anonymity. But Grace has her doubts—which are confirmed one horrifying cherry-blossom-scented night when one of Fantasy, Inc.’s operators is murdered. As Grace is drawn to help solve the crime, her life turns into a scene from one of her own books. Yet as one of her biggest fans, investigator Ed Jackson, warns her: This isn’t fiction. Real people die—and Grace could be next. For she’s hoping to trap a killer more twisted than anything she could imagine. And not even Ed may be able to protect her from a rendezvous with lust and death.",0.179,0.683,0.138,-0.9287,1
391,0312145543,Brewing Up a Storm,"When the leader of No-Beer Buying Youngsters (NOBBY) is murdered during a protest, it is up to John Putnam Thatcher to discover whether it was a brewery owner, a politician, or one of her own supporters who was responsible for the killing.",0.216,0.68,0.104,-0.765,1
392,0380732688,Milk and Honey,"In the silent pre-dawn city hours -- alone with his thoughts about Rina Lazarus, the woman he loves, three thousand miles away in New York -- LAPD detective Peter Decker finds a small child, abandoned and covered in blood that is not hers. It is a sobering discovery, and a perplexing one, for nobody in the development where she was found steps forward to claim the little girl. Obsessed more deeply by this case than he imagined possible, Decker is determined to follow the scant clues to an answer. But his trail is leading him to a killing ground where four bodies lie still and lifeless. And by the time Rina returns, Peter Decker is already held fast in a sticky mass of hatred, passion, and murder -- in a world where intense sweetness is accompanied by a deadly sting.",0.154,0.759,0.087,-0.9146,1
